 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 12/08/2010   14:02:07
 ---------------------------------------------------------------------------------------------------------------------------------- 

14:02:08  |  Core  |  Info  |  LayoutManager successfully initialized  |  ..\src\GUI\LayoutManager.cpp  |  26
14:02:08  |  Core  |  Info  |  * Initialise: DynLibManager  |  ..\src\GUI\DynLibManager.cpp  |  12
14:02:08  |  Core  |  Info  |  DynLibManager successfully initialized  |  ..\src\GUI\DynLibManager.cpp  |  14
14:02:08  |  Core  |  Info  |  * Initialise: PluginManager  |  ..\src\GUI\PluginManager.cpp  |  14
14:02:08  |  Core  |  Info  |  PluginManager successfully initialized  |  ..\src\GUI\PluginManager.cpp  |  18
14:02:08  |  Core  |  Info  |  * Initialise: LanguageManager  |  ..\src\GUI\LanguageManager.cpp  |  18
14:02:08  |  Core  |  Info  |  LanguageManager successfully initialized  |  ..\src\GUI\LanguageManager.cpp  |  22
14:02:08  |  Core  |  Info  |  * Initialise: FactoryManager  |  ..\src\GUI\FactoryManager.cpp  |  12
14:02:08  |  Core  |  Info  |  FactoryManager successfully initialized  |  ..\src\GUI\FactoryManager.cpp  |  15
14:02:08  |  Core  |  Info  |  Load ini curFile 'editor_theme.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:08  |  Core  |  Info  |  Load ini curFile 'editor_language.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:08  |  Core  |  Info  |  Load ini curFile 'core_font.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:08  |  Core  |  Info  |  ResourceTrueTypeFont 'font_DejaVuSans.17' using texture size 512 x 256  |  ..\src\GUI\ResourceTrueTypeFont.cpp  |  194
14:02:08  |  Core  |  Info  |  ResourceTrueTypeFont 'font_DejaVuSans.17' using real height 17 pixels  |  ..\src\GUI\ResourceTrueTypeFont.cpp  |  195
14:02:11  |  Core  |  Info  |  ResourceTrueTypeFont 'font_Simhei' using texture size 4096 x 4096  |  ..\src\GUI\ResourceTrueTypeFont.cpp  |  194
14:02:11  |  Core  |  Info  |  ResourceTrueTypeFont 'font_Simhei' using real height 17 pixels  |  ..\src\GUI\ResourceTrueTypeFont.cpp  |  195
14:02:15  |  Core  |  Info  |  ResourceTrueTypeFont 'font_DejaVuSans.14' using texture size 256 x 256  |  ..\src\GUI\ResourceTrueTypeFont.cpp  |  194
14:02:15  |  Core  |  Info  |  ResourceTrueTypeFont 'font_DejaVuSans.14' using real height 15 pixels  |  ..\src\GUI\ResourceTrueTypeFont.cpp  |  195
14:02:15  |  Core  |  Info  |  Load ini curFile 'core_resource.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:15  |  Core  |  Info  |  Load ini curFile 'core_skin.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:15  |  Core  |  Info  |  Register value : 'HCenter' = 0  |  f:\luatool\inc\gui\Align.h  |  184
14:02:15  |  Core  |  Info  |  Register value : 'VCenter' = 0  |  f:\luatool\inc\gui\Align.h  |  185
14:02:15  |  Core  |  Info  |  Register value : 'Center' = 0  |  f:\luatool\inc\gui\Align.h  |  186
14:02:15  |  Core  |  Info  |  Register value : 'Left' = 2  |  f:\luatool\inc\gui\Align.h  |  187
14:02:15  |  Core  |  Info  |  Register value : 'Right' = 4  |  f:\luatool\inc\gui\Align.h  |  188
14:02:15  |  Core  |  Info  |  Register value : 'HStretch' = 6  |  f:\luatool\inc\gui\Align.h  |  189
14:02:15  |  Core  |  Info  |  Register value : 'Top' = 8  |  f:\luatool\inc\gui\Align.h  |  190
14:02:15  |  Core  |  Info  |  Register value : 'Bottom' = 16  |  f:\luatool\inc\gui\Align.h  |  191
14:02:15  |  Core  |  Info  |  Register value : 'VStretch' = 24  |  f:\luatool\inc\gui\Align.h  |  192
